"schedule_id","section_course_id","day","start_time","end_time","faculty_id","room_id","is_published","created_at","updated_at"
"338","443",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"339","444",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"340","445",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"341","446",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"342","447",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"343","448",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"344","449",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"345","450",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"346","451",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"347","452",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"348","453",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"349","454",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"350","455",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"351","456",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
